"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"136","Data Patterns (India) Ltd","DATAPATTNS","P&F | F.A","14.58%","1628.25","1,15,15,983"
"291","Triveni Turbine Limited","TRITURBINE","P&F | F.A","14.51%","613.5","2,08,32,897"
"430","Inox Wind Limited","INOXWIND","P&F | F.A","11.46%","170.75","7,01,23,870"
"241","Shyam Metalics & Energy Ltd","SHYAMMETL","P&F | F.A","8.69%","824.2","19,86,889"
"451","Sun Pharma Advanced Research Company Limited","SPARC","P&F | F.A","8.37%","136.6","2,47,09,113"
"319","Anant Raj Limited","ANANTRAJ","P&F | F.A","7.97%","501.2","44,93,921"
"158","Garden Reach Shipbuilders & Engineers Ltd","GRSE","P&F | F.A","6.78%","1385.15","41,53,076"
"28","Apar Industries Limited","APARINDS","P&F | F.A","6.71%","6106.6","3,33,555"
"187","Bharat Dynamics Ltd","BDL","P&F | F.A","6.53%","1135.2","31,64,621"
"341","Aadhar Housing Finance Ltd","AADHARHFC","P&F | F.A","6.45%","426.7","11,58,243"
"268","KSB Ltd","KSB","P&F | F.A","6.23%","685.9","6,41,432"
"213","Jyoti CNC Automation Ltd","JYOTICNC","P&F | F.A","6.04%","966.7","16,84,062"
"464","Zee Entertainment Enterprises Limited","ZEEL","P&F | F.A","5.9%","103.97","2,20,39,380"
"482","Suzlon Energy Limited","SUZLON","P&F | F.A","5.41%","54.92","10,68,55,231"
"250","Titagarh Rail Systems Ltd","TITAGARH","P&F | F.A","5.34%","759","57,29,872"
"396","Iti Limited","ITI","P&F | F.A","5%","267.18","2,63,651"
"53","Kaynes Technology India Ltd","KAYNES","P&F | F.A","4.89%","4457.05","8,86,317"
"195","SignatureGlobal India Ltd","SIGNATURE","P&F | F.A","4.65%","1062.2","6,23,034"
"222","KFin Technologies Ltd","KFINTECH","P&F | F.A","4.57%","929.55","19,98,432"
"46","Basf India Limited","BASF","P&F | F.A","4.36%","4781.7","51,518"
"182","Lloyds Metals & Energy Ltd","LLOYDSME","P&F | F.A","4.36%","1151.7","8,14,016"
"452","D B Realty Limited","DBREALTY","P&F | F.A","4.34%","133.82","40,43,529"
"96","Mazagon Dock Shipbuilders Ltd","MAZDOCK","P&F | F.A","4.27%","2338.2","46,54,555"
"267","Jubilant Ingrevia Ltd","JUBLINGREA","P&F | F.A","4.23%","686.15","8,82,421"
"235","Alembic Pharmaceuticals Limited","APLLTD","P&F | F.A","4.1%","844.65","2,41,232"
"228","The Great Eastern Shipping Company Limited","GESHIP","P&F | F.A","3.89%","906.5","4,04,534"
"287","Can Fin Homes Limited","CANFINHOME","P&F | F.A","3.86%","629.6","6,08,823"
"367","Mahindra Lifespace Developers Limited","MAHLIFE","P&F | F.A","3.81%","343.55","3,27,309"
"498","Jaiprakash Power Ventures Limited","JPPOWER","P&F | F.A","3.74%","14.15","3,37,56,123"
"163","Cochin Shipyard","COCHINSHIP","P&F | F.A","3.7%","1335.85","16,10,855"
"12","Bajaj Holdings & Investment Limited","BAJAJHLDNG","P&F | F.A","3.63%","11774.95","1,38,683"
"370","Sapphire Foods India Ltd","SAPPHIRE","P&F | F.A","3.51%","337.75","8,05,282"
"190","Deepak Fertilizers And Petrochemicals Corporation Limited","DEEPAKFERT","P&F | F.A","3.45%","1116.15","5,97,067"
"330","Elgi Equipments Limited","ELGIEQUIP","P&F | F.A","3.44%","455.1","8,86,980"
"300","Emami Limited","EMAMILTD","P&F | F.A","3.43%","551.75","4,99,056"
"86","Beml Limited","BEML","P&F | F.A","3.36%","2668.8","3,93,193"
"128","Kirloskar Brothers Limited","KIRLOSBROS","P&F | F.A","3.34%","1695.8","2,00,694"
"175","Reliance Industries Limited","RELIANCE","P&F | F.A","3.32%","1249.8","1,64,74,965"
"148","Affle India Ltd","AFFLE","P&F | F.A","3.25%","1482.65","2,04,616"
"173","Clean Science & Technology Ltd","CLEAN","P&F | F.A","3.23%","1271.05","96,479"
"485","Network18 Media & Investments Limited","NETWORK18","P&F | F.A","3.18%","45.45","89,94,617"
"11","PTC Industries Ltd","PTCIL","P&F | F.A","3.08%","12276.45","31,612"
"336","Elecon Engineering Company Limited","ELECON","P&F | F.A","3.07%","437.55","5,75,270"
"414","Rites Ltd","RITES","P&F | F.A","3.05%","219.3","59,88,786"
"380","Jupiter Wagons Ltd","JWL","P&F | F.A","3.03%","315.85","42,71,407"
"24","Tata Investment Corporation Limited","TATAINVEST","P&F | F.A","3.01%","6384.8","3,76,028"
"260","Ramkrishna Forgings Limited","RKFORGE","P&F | F.A","2.97%","715.95","5,16,360"
"186","Action Construction Equipment Limited","ACE","P&F | F.A","2.96%","1136.3","3,93,864"
"479","Equitas Small Finance Bank Ltd","EQUITASBNK","P&F | F.A","2.95%","59.26","36,69,632"
"78","Srf Limited","SRF","P&F | F.A","2.94%","2935.35","14,17,602"
"381","Go Digit General Insurance Ltd","GODIGIT","P&F | F.A","2.93%","314.45","11,84,400"
"230","Just Dial Limited","JUSTDIAL","P&F | F.A","2.92%","888.75","3,48,456"
"483","Motherson Sumi Wiring India Ltd","MSUMI","P&F | F.A","2.92%","52.55","54,75,463"
"137","Grindwell Norton Limited","GRINDWELL","P&F | F.A","2.86%","1624.35","1,02,542"
"296","Ccl Products (india) Limited","CCL","P&F | F.A","2.75%","598.75","2,80,091"
"345","Apollo Tyres Limited","APOLLOTYRE","P&F | F.A","2.71%","411.7","26,31,605"
"25","Amber Enterprises India Ltd","AMBER","P&F | F.A","2.66%","6339.15","10,33,859"
"185","Olectra Greentech Ltd","OLECTRA","P&F | F.A","2.64%","1143.1","5,12,341"
"325","Saregama India Limited","SAREGAMA","P&F | F.A","2.6%","490.9","4,94,598"
"493","Ujjivan Small Finance Bank Ltd","UJJIVANSFB","P&F | F.A","2.57%","34.76","1,34,07,718"
"447","TVS Supply Chain Solutions Ltd","TVSSCS","P&F | F.A","2.56%","144.02","13,54,850"
"176","Sobha Limited","SOBHA","P&F | F.A","2.52%","1241.85","5,47,323"
"352","Heg Limited","HEG","P&F | F.A","2.46%","394","7,88,913"
"390","Jk Tyre & Industries Limited","JKTYRE","P&F | F.A","2.45%","279.65","7,67,308"
"153","GE Vernova T&D India Ltd","GVT&D","P&F | F.A","2.44%","1423.45","6,73,598"
"382","Vip Industries Limited","VIPIND","P&F | F.A","2.43%","314.4","6,04,125"
"417","Manappuram Finance Limited","MANAPPURAM","P&F | F.A","2.38%","208.39","1,02,46,224"
"457","Indian Railway Finance Corporation Ltd","IRFC","P&F | F.A","2.35%","123.42","3,12,22,210"
"365","Bls International Services Limited","BLS","P&F | F.A","2.33%","347.25","31,87,591"
"26","Linde India Limited","LINDEINDIA","P&F | F.A","2.3%","6222.1","42,301"
"202","Birla Corporation Limited","BIRLACORPN","P&F | F.A","2.29%","1015.8","1,03,705"
"81","Glaxosmithkline Pharmaceuticals Limited","GLAXO","P&F | F.A","2.28%","2751.6","2,02,498"
"279","Kirloskar Oil Engines Limited","KIRLOSENG","P&F | F.A","2.25%","652","10,10,132"
"331","Syrma SGS Technology Ltd","SYRMA","P&F | F.A","2.19%","449.55","7,51,764"
"359","Triveni Engineering & Industries Limited","TRIVENI","P&F | F.A","2.18%","374.15","3,96,554"
"490","RattanIndia Enterprises Ltd","RTNINDIA","P&F | F.A","2.17%","43.84","26,70,134"
"481","Mmtc Limited","MMTC","P&F | F.A","2.15%","55.22","19,78,527"
"252","Adani Energy Solutions Ltd","ADANIENSOL","P&F | F.A","1.96%","747.6","26,22,387"
"85","Tube Investments of India Ltd","TIINDIA","P&F | F.A","1.95%","2701.8","2,73,725"
"488","Ifci Limited","IFCI","P&F | F.A","1.93%","44.44","78,48,413"
"3","Honeywell Automation India Limited","HONAUT","P&F | F.A","1.91%","35812.8","3,734"
"68","Computer Age Management Services Ltd","CAMS","P&F | F.A","1.91%","3365.7","6,39,238"
"293","Adani Total Gas Ltd","ATGL","P&F | F.A","1.9%","607.2","8,28,175"
"443","Ircon International Ltd","IRCON","P&F | F.A","1.86%","151.94","61,84,127"
"141","Netweb Technologies India Ltd","NETWEB","P&F | F.A","1.85%","1594.2","2,07,786"
"440","Shipping Corporation Of India Limited","SCI","P&F | F.A","1.85%","157.69","20,18,954"
"98","Mankind Pharma Ltd","MANKIND","P&F | F.A","1.84%","2316.05","6,35,714"
"69","Thermax Limited","THERMAX","P&F | F.A","1.81%","3359.8","92,818"
"492","NMDC Steel Ltd","NSLNISP","P&F | F.A","1.8%","37.26","53,30,304"
"496","Alok Industries Ltd","ALOKINDS","P&F | F.A","1.76%","17.36","84,62,069"
"315","Berger Paints (i) Limited","BERGEPAINT","P&F | F.A","1.75%","509.35","7,20,896"
"436","Engineers India Limited","ENGINERSIN","P&F | F.A","1.73%","161.37","39,86,891"
"118","Endurance Technologies Limited","ENDURANCE","P&F | F.A","1.72%","1882.65","2,80,770"
"465","Jm Financial Limited","JMFINANCIL","P&F | F.A","1.71%","97.5","37,11,164"
"103","Nestle India Limited","NESTLEIND","P&F | F.A","1.69%","2238.45","5,25,606"
"399","Gujarat Mineral Development Corporation Limited","GMDCLTD","P&F | F.A","1.66%","261.81","9,56,579"
"303","Jbm Auto Limited","JBMA","P&F | F.A","1.65%","549.1","7,69,666"
"112","Deepak Nitrite Limited","DEEPAKNTR","P&F | F.A","1.61%","1989","2,09,244"
"247","Chalet Hotels Ltd","CHALET","P&F | F.A","1.57%","790.3","2,10,808"
"278","Maharashtra Seamless Limited","MAHSEAMLES","P&F | F.A","1.57%","653.5","2,37,919"
"281","Quess Corp Limited","QUESS","P&F | F.A","1.56%","645.5","19,28,581"
"442","New India Assurance Company Ltd","NIACL","P&F | F.A","1.56%","151.98","5,54,862"
"125","Alkyl Amines Chemicals Limited","ALKYLAMINE","P&F | F.A","1.55%","1704","33,776"
"34","Sanofi India Limited","SANOFI","P&F | F.A","1.54%","5481.55","14,912"
"221","Kalpataru Projects International Ltd","KPIL","P&F | F.A","1.54%","931.2","68,05,163"
"404","Redington (india) Limited","REDINGTON","P&F | F.A","1.53%","251.11","60,68,734"
"429","Gujarat State Fertilizers & Chemicals Limited","GSFC","P&F | F.A","1.52%","178.53","12,15,531"
"20","Bajaj Auto Limited","BAJAJ-AUTO","P&F | F.A","1.51%","7574.75","9,42,308"
"246","Welspun Corp Limited","WELCORP","P&F | F.A","1.51%","795.25","6,96,283"
"14","ZF Commercial Vehicle Control System India Ltd","ZFCVINDIA","P&F | F.A","1.5%","11416.95","15,191"
"65","Avenue Supermarts","DMART","P&F | F.A","1.5%","3593.6","6,81,832"
"121","Bombay Burmah Trading Corporation Limited","BBTC","P&F | F.A","1.48%","1792.95","47,777"
"391","Bharat Electronics Limited","BEL","P&F | F.A","1.48%","276.99","2,55,42,382"
"197","Godrej Consumer Products Limited","GODREJCP","P&F | F.A","1.46%","1045.3","6,07,186"
"305","Indegene Ltd","INDGN","P&F | F.A","1.46%","534","3,83,034"
"328","Balrampur Chini Mills Limited","BALRAMCHIN","P&F | F.A","1.45%","465.5","3,44,572"
"478","Tata Teleservices (maharashtra) Limited","TTML","P&F | F.A","1.44%","60.73","36,58,916"
"353","PCBL Ltd","PCBL","P&F | F.A","1.39%","391.1","14,55,927"
"265","Hindalco Industries Limited","HINDALCO","P&F | F.A","1.38%","691.35","81,42,832"
"122","Coromandel International Limited","COROMANDEL","P&F | F.A","1.36%","1756.3","3,66,163"
"280","Tata Motors Limited","TATAMOTORS","P&F | F.A","1.35%","648.3","1,01,23,450"
"402","Sterling & Wilson Renewable Energy Ltd","SWSOLAR","P&F | F.A","1.34%","256.35","43,04,229"
"499","Easy Trip Planners Ltd","EASEMYTRIP","P&F | F.A","1.3%","12.5","7,02,35,095"
"458","Welspun Living Ltd","WELSPUNLIV","P&F | F.A","1.28%","122.66","19,92,698"
"207","Whirlpool Of India Limited","WHIRLPOOL","P&F | F.A","1.25%","996.7","6,25,012"
"422","National Aluminium Company Limited","NATIONALUM","P&F | F.A","1.23%","195.17","91,53,908"
"116","United Breweries Limited","UBL","P&F | F.A","1.19%","1922.3","1,76,597"
"368","Rail Vikas Nigam Ltd","RVNL","P&F | F.A","1.17%","341.5","1,84,01,980"
"200","G R Infraprojects Ltd","GRINFRA","P&F | F.A","1.14%","1035.25","53,330"
"289","HDFC Life Insurance Company Ltd","HDFCLIFE","P&F | F.A","1.12%","625.2","31,69,440"
"30","Atul Limited","ATUL","P&F | F.A","1.1%","5697.05","70,317"
"374","V-guard Industries Limited","VGUARD","P&F | F.A","1.1%","330.85","3,84,250"
"199","Max Financial Services Limited","MFSL","P&F | F.A","1.09%","1036.6","6,42,199"
"19","Coforge (Niit Tech)","COFORGE","P&F | F.A","1.08%","7707.25","7,07,188"
"16","Solar Industries India Limited","SOLARINDS","P&F | F.A","1.06%","9486.5","95,337"
"472","Himachal Futuristic Communications Limited","HFCL","P&F | F.A","1.06%","83.87","1,17,37,506"
"66","Hindustan Aeronautics Ltd","HAL","P&F | F.A","1.01%","3452.05","17,32,838"
"327","Tanla Solutions Limited","TANLA","P&F | F.A","0.98%","470.85","4,93,247"
"460","Sammaan Capital Ltd","SAMMAANCAP","P&F | F.A","0.98%","116.84","1,05,33,999"
"47","Britannia Industries Limited","BRITANNIA","P&F | F.A","0.97%","4748.25","1,91,644"
"258","Jk Lakshmi Cement Limited","JKLAKSHMI","P&F | F.A","0.97%","728.8","89,357"
"410","Knr Constructions Limited","KNRCON","P&F | F.A","0.96%","224.03","12,97,804"
"299","Sun Tv Network Limited","SUNTV","P&F | F.A","0.95%","569.9","3,22,666"
"384","Railtel Corporation of India Ltd","RAILTEL","P&F | F.A","0.95%","298.7","21,21,243"
"42","Craftsman Automation Ltd","CRAFTSMAN","P&F | F.A","0.94%","5000.65","44,454"
"93","Colgate Palmolive (india) Limited","COLPAL","P&F | F.A","0.9%","2474.15","2,86,553"
"426","Finolex Industries Limited","FINPIPE","P&F | F.A","0.9%","182.1","6,39,548"
"259","Kec International Limited","KEC","P&F | F.A","0.88%","723","2,81,511"
"88","Ceat Limited","CEATLTD","P&F | F.A","0.87%","2597.6","80,248"
"94","Mastek Limited","MASTEK","P&F | F.A","0.86%","2409.4","1,58,747"
"15","Ultratech Cement Limited","ULTRACEMCO","P&F | F.A","0.85%","10582.4","3,02,339"
"117","Acc Limited","ACC","P&F | F.A","0.85%","1885.75","4,45,459"
"192","Godrej Industries Limited","GODREJIND","P&F | F.A","0.85%","1109.8","6,23,395"
"349","Vardhman Textiles Limited","VTL","P&F | F.A","0.85%","401.15","1,97,329"
"401","Adani Wilmar Ltd","AWL","P&F | F.A","0.85%","260.84","13,48,933"
"413","Jio Financial Services Ltd","JIOFIN","P&F | F.A","0.85%","221.81","2,79,97,558"
"473","Nbcc (india) Limited","NBCC","P&F | F.A","0.85%","80.76","89,38,596"
"286","Upl Limited","UPL","P&F | F.A","0.82%","629.85","20,73,888"
"411","Honasa Consumer Ltd","HONASA","P&F | F.A","0.81%","223.87","3,56,322"
"434","Rbl Bank Limited","RBLBANK","P&F | F.A","0.8%","163.79","76,14,384"
"438","Aditya Birla Capital Ltd","ABCAPITAL","P&F | F.A","0.8%","160.85","63,86,257"
"386","Poonawalla Fincorp Ltd","POONAWALLA","P&F | F.A","0.77%","288.45","9,73,843"
"449","Cesc Limited","CESC","P&F | F.A","0.77%","140.94","34,07,588"
"340","Hindustan Zinc Limited","HINDZINC","P&F | F.A","0.76%","429.35","20,97,278"
"459","Union Bank Of India","UNIONBANK","P&F | F.A","0.75%","117.78","65,59,818"
"444","Tata Steel Limited","TATASTEEL","P&F | F.A","0.74%","151.56","8,18,21,791"
"184","Adani Ports And Special Economic Zone Limited","ADANIPORTS","P&F | F.A","0.73%","1144.5","22,11,623"
"393","Pnc Infratech Limited","PNCINFRA","P&F | F.A","0.73%","270.35","3,39,086"
"115","Kotak Mahindra Bank Limited","KOTAKBANK","P&F | F.A","0.71%","1935.4","27,80,338"
"134","Gland Pharma Ltd","GLAND","P&F | F.A","0.71%","1641.55","1,66,390"
"486","Indian Overseas Bank","IOB","P&F | F.A","0.7%","44.67","34,10,958"
"70","Schaeffler India Ltd","SCHAEFFLER","P&F | F.A","0.69%","3274.9","55,078"
"211","360 ONE WAM Ltd","360ONE","P&F | F.A","0.69%","972.9","5,21,682"
"244","Avanti Feeds Limited","AVANTIFEED","P&F | F.A","0.69%","798.7","13,61,944"
"149","Havells India Limited","HAVELLS","P&F | F.A","0.68%","1460.55","5,27,443"
"162","Balaji Amines Limited","BALAMINES","P&F | F.A","0.68%","1337.85","69,598"
"113","Aditya Birla Real Estate Ltd","ABREL","P&F | F.A","0.67%","1972.55","1,40,812"
"455","Rashtriya Chemicals And Fertilizers Limited","RCF","P&F | F.A","0.67%","124.95","34,73,866"
"57","Pfizer Limited","PFIZER","P&F | F.A","0.66%","4138.4","17,450"
"308","Indian Bank","INDIANB","P&F | F.A","0.64%","530.15","8,04,671"
"385","The India Cements Limited","INDIACEM","P&F | F.A","0.64%","297","8,75,488"
"329","HBL Engineering Ltd","HBLENGINE","P&F | F.A","0.63%","456.25","11,09,371"
"476","Idbi Bank Limited","IDBI","P&F | F.A","0.62%","72.79","39,12,895"
"316","Adani Power Limited","ADANIPOWER","P&F | F.A","0.6%","506.15","38,90,016"
"119","Anand Rathi Wealth Ltd","ANANDRATHI","P&F | F.A","0.59%","1865","2,61,937"
"332","Varroc Engineering Ltd","VARROC","P&F | F.A","0.59%","449.5","1,95,715"
"356","Latent View Analytics Ltd","LATENTVIEW","P&F | F.A","0.59%","385.15","1,96,705"
"97","Tvs Motor Company Limited","TVSMOTOR","P&F | F.A","0.58%","2332.9","6,83,846"
"95","Grasim Industries Limited","GRASIM","P&F | F.A","0.57%","2407.25","3,17,388"
"109","Lupin Limited","LUPIN","P&F | F.A","0.57%","2030","9,37,498"
"301","Cello World Ltd","CELLO","P&F | F.A","0.56%","550.35","3,30,638"
"334","Vedanta Limited","VEDL","P&F | F.A","0.56%","445.45","78,60,045"
"156","Glenmark Pharmaceuticals Limited","GLENMARK","P&F | F.A","0.55%","1404.4","3,43,691"
"420","Piramal Pharma Ltd","PPLPHARMA","P&F | F.A","0.55%","201.46","53,36,750"
"372","Usha Martin Limited","USHAMART","P&F | F.A","0.54%","332.9","5,54,184"
"407","Kansai Nerolac Paints Limited","KANSAINER","P&F | F.A","0.54%","235.65","2,08,748"
"394","JSW Infrastructure Ltd","JSWINFRA","P&F | F.A","0.5%","269.9","22,68,198"
"461","Mangalore Refinery And Petrochemicals Limited","MRPL","P&F | F.A","0.5%","113.67","50,71,709"
"76","Torrent Pharmaceuticals Limited","TORNTPHARM","P&F | F.A","0.48%","3073.8","2,84,470"
"82","Pidilite Industries Limited","PIDILITIND","P&F | F.A","0.48%","2751.2","4,34,533"
"491","Uco Bank","UCOBANK","P&F | F.A","0.48%","37.44","32,30,191"
"114","Caplin Point Laboratories Limited","CAPLIPOINT","P&F | F.A","0.47%","1942.75","98,236"
"290","Aditya Birla Sun Life AMC Ltd","ABSLAMC","P&F | F.A","0.47%","619.55","3,60,176"
"344","Graphite India Limited","GRAPHITE","P&F | F.A","0.47%","412.85","8,68,833"
"172","Eris Lifesciences","ERIS","P&F | F.A","0.46%","1275.45","78,659"
"448","L&T Finance Ltd","LTF","P&F | F.A","0.44%","141.71","31,48,608"
"484","Bank Of Maharashtra","MAHABANK","P&F | F.A","0.44%","47.96","65,36,193"
"318","Gujarat Narmada Valley Fertilizers And Chemicals Limited","GNFC","P&F | F.A","0.43%","502.45","3,25,322"
"306","Lic Housing Finance Limited","LICHSGFIN","P&F | F.A","0.42%","532.4","11,02,620"
"445","Bandhan Bank Ltd","BANDHANBNK","P&F | F.A","0.42%","149.93","88,64,396"
"216","TATA Consumer Products Ltd","TATACONSUM","P&F | F.A","0.41%","962.05","9,45,675"
"277","Jindal Stainless Limited","JSL","P&F | F.A","0.41%","654.6","12,55,285"
"309","Chennai Petroleum Corporation Limited","CHENNPETRO","P&F | F.A","0.41%","529.2","30,98,187"
"138","Vinati Organics Limited","VINATIORGA","P&F | F.A","0.39%","1614.7","91,484"
"166","Torrent Power Limited","TORNTPOWER","P&F | F.A","0.39%","1332","6,20,985"
"433","Indian Energy Exchange Ltd","IEX","P&F | F.A","0.39%","163.93","39,41,272"
"366","Crompton Greaves Consumer Electricals Limited","CROMPTON","P&F | F.A","0.38%","344.45","25,24,809"
"379","Nuvoco Vistas Corporation Ltd","NUVOCO","P&F | F.A","0.35%","317.9","73,971"
"469","Sjvn Limited","SJVN","P&F | F.A","0.35%","87.76","61,75,552"
"198","Axis Bank Limited","AXISBANK","P&F | F.A","0.34%","1037.65","75,97,321"
"255","Century Plyboards (india) Limited","CENTURYPLY","P&F | F.A","0.34%","738.45","2,64,695"
"477","Nmdc Limited","NMDC","P&F | F.A","0.34%","67.13","2,02,27,573"
"292","Marico Limited","MARICO","P&F | F.A","0.32%","609.65","13,27,590"
"285","CG Power and Industrial Solutions Ltd","CGPOWER","P&F | F.A","0.31%","630.05","23,50,526"
"64","Tata Consultancy Services Limited","TCS","P&F | F.A","0.27%","3611.2","20,51,315"
"274","Dlf Limited","DLF","P&F | F.A","0.26%","667.05","53,71,744"
"320","Ambuja Cements Limited","AMBUJACEM","P&F | F.A","0.26%","499.8","18,51,476"
"450","Gujarat Pipavav Port Limited","GPPL","P&F | F.A","0.25%","136.95","10,63,585"
"240","Natco Pharma Limited","NATCOPHARM","P&F | F.A","0.24%","825","5,05,661"
"135","Bharti Airtel Limited","BHARTIARTL","P&F | F.A","0.23%","1630.7","30,35,558"
"371","Biocon Limited","BIOCON","P&F | F.A","0.21%","333.7","38,89,175"
"423","Indraprastha Gas Limited","IGL","P&F | F.A","0.21%","188.49","51,19,736"
"80","Eclerx Services Limited","ECLERX","P&F | F.A","0.2%","2793.1","40,159"
"468","Punjab National Bank","PNB","P&F | F.A","0.2%","91.17","1,64,24,249"
"32","Divi's Laboratories Limited","DIVISLAB","P&F | F.A","0.18%","5578.75","1,87,672"
"160","TBO Tek Ltd","TBOTEK","P&F | F.A","0.18%","1365","1,00,454"
"256","Tejas Networks","TEJASNET","P&F | F.A","0.18%","736.45","14,31,961"
"412","Hindustan Copper Limited","HINDCOPPER","P&F | F.A","0.17%","223.85","93,63,253"
"321","Dabur India Limited","DABUR","P&F | F.A","0.16%","495.8","19,13,893"
"489","Central Bank Of India","CENTRALBK","P&F | F.A","0.16%","44.43","29,73,141"
"165","Astral Poly Technik Limited","ASTRAL","P&F | F.A","0.15%","1332.65","3,33,456"
"271","Tata Technologies Ltd","TATATECH","P&F | F.A","0.14%","671.55","12,81,819"
"312","Minda Corporation Limited","MINDACORP","P&F | F.A","0.13%","519.95","2,60,498"
"40","Eicher Motors Limited","EICHERMOT","P&F | F.A","0.12%","5100.7","5,90,548"
"106","Muthoot Finance Limited","MUTHOOTFIN","P&F | F.A","0.12%","2179.45","4,72,598"
"180","Suven Pharmaceuticals Ltd","SUVENPHAR","P&F | F.A","0.12%","1166","2,03,079"
"194","Bharat Forge Limited","BHARATFORG","P&F | F.A","0.12%","1087.8","12,12,897"
"408","Oil & Natural Gas Corporation Limited","ONGC","P&F | F.A","0.12%","232.89","90,79,049"
"9","Procter & Gamble Hygiene And Health Care Limited","PGHH","P&F | F.A","0.11%","13502.3","4,446"
"63","Hero Motocorp Limited","HEROMOTOCO","P&F | F.A","0.1%","3652.5","6,21,576"
"101","Asian Paints Limited","ASIANPAINT","P&F | F.A","0.1%","2270","9,21,429"
